Model parameters: 32,557,208
Starting training...
Starting training...
Epoch 7, Batch 70/164, Loss: 0.1491
Epoch 7, Batch 80/164, Loss: 0.1838
Epoch 7, Batch 90/164, Loss: 0.3281
Epoch 7, Batch 100/164, Loss: 0.7982
Epoch 7, Batch 110/164, Loss: 0.1288
Epoch 7, Batch 120/164, Loss: 0.1469
Epoch 7, Batch 130/164, Loss: 0.2650
Epoch 7, Batch 140/164, Loss: 0.3705
Epoch 7, Batch 150/164, Loss: 0.2598
Epoch 7, Batch 160/164, Loss: 0.5597
Epoch 7/20 | Train Loss: 0.3158 Acc: 0.8951 | Val Loss: 0.3568 Acc: 0.8808 | LR: 0.000100 | Time: 58.3s
Epoch 8, Batch 0/164, Loss: 0.2150
Epoch 8, Batch 10/164, Loss: 0.1446
Epoch 8, Batch 20/164, Loss: 0.3531
Epoch 8, Batch 30/164, Loss: 0.6194
Epoch 8, Batch 40/164, Loss: 0.1008
Epoch 8, Batch 50/164, Loss: 0.3507
Epoch 8, Batch 60/164, Loss: 0.2173
Epoch 8, Batch 70/164, Loss: 0.4852
Epoch 8, Batch 80/164, Loss: 0.1243
Epoch 8, Batch 90/164, Loss: 0.2243
Epoch 8, Batch 100/164, Loss: 0.1098
Epoch 8, Batch 110/164, Loss: 0.3930
Epoch 8, Batch 120/164, Loss: 0.1854
Epoch 8, Batch 130/164, Loss: 0.3932
Epoch 8, Batch 140/164, Loss: 0.0258
Epoch 8, Batch 150/164, Loss: 0.1553
Epoch 8, Batch 160/164, Loss: 0.0449
Epoch 8/20 | Train Loss: 0.2846 Acc: 0.9138 | Val Loss: 0.3288 Acc: 0.8915 | LR: 0.000100 | Time: 62.1s
Epoch 9, Batch 0/164, Loss: 0.2897
Epoch 9, Batch 10/164, Loss: 0.3356
Epoch 9, Batch 20/164, Loss: 0.0574
Epoch 9, Batch 30/164, Loss: 0.1769
Epoch 9, Batch 40/164, Loss: 0.1281
Epoch 9, Batch 50/164, Loss: 0.1971
Epoch 9, Batch 60/164, Loss: 0.2115
Epoch 9, Batch 70/164, Loss: 0.4165
Epoch 9, Batch 80/164, Loss: 0.4055
Epoch 9, Batch 90/164, Loss: 0.1207
Epoch 9, Batch 100/164, Loss: 0.2914
Epoch 9, Batch 110/164, Loss: 0.3835
Epoch 9, Batch 120/164, Loss: 0.0877
Epoch 9, Batch 130/164, Loss: 0.3819
Epoch 9, Batch 140/164, Loss: 0.1371
Epoch 9, Batch 150/164, Loss: 0.1262
Epoch 9, Batch 160/164, Loss: 0.4163
Epoch 9/20 | Train Loss: 0.2613 Acc: 0.9126 | Val Loss: 0.3670 Acc: 0.8754 | LR: 0.000050 | Time: 63.3s
Epoch 10, Batch 0/164, Loss: 0.1806
Epoch 10, Batch 10/164, Loss: 0.9052
Epoch 10, Batch 20/164, Loss: 0.0892
Epoch 10, Batch 30/164, Loss: 0.5075
Epoch 10, Batch 40/164, Loss: 0.1733
Epoch 10, Batch 50/164, Loss: 0.1926
Epoch 10, Batch 60/164, Loss: 0.5438
Epoch 10, Batch 70/164, Loss: 0.2584
Epoch 10, Batch 80/164, Loss: 0.4178
